HS2,HS4,HS6,description,clean_description
,,310319.0,"Fertilizers, mineral or chemical; phosphatic, superphosphates, other than containing by weight 35% or more of diphosphorus pentaoxide (P2O5)",fertilizer mineral chemical phosphatic superphosphate contain weight diphosphorus pentaoxide
,,310390.0,"Fertilizers, mineral or chemical; phosphatic, n.e.c. in heading no. 3103",fertilizer mineral chemical phosphatic head
,,310420.0,"Fertilizers, mineral or chemical; potassic, potassium chloride",fertilizer mineral chemical potassic potassium chloride
,,310430.0,"Fertilizers, mineral or chemical; potassic, potassium sulphate",fertilizer mineral chemical potassic potassium sulphate
,,310490.0,"Fertilizers, mineral or chemical; potassic, n.e.c. in heading no. 3104",fertilizer mineral chemical potassic head
,,310510.0,"Fertilizers, mineral or chemical; in tablets or similar forms or in packages of a gross weight not exceeding 10kg",fertilizer mineral chemical tablet similar form package gross weight exceed kg
,,310520.0,"Fertilizers, mineral or chemical; containing the three fertilizing elements nitrogen, phosphorus and potassium",fertilizer mineral chemical contain fertilize element nitrogen phosphoru potassium
,,310530.0,"Fertilizers, mineral or chemical; diammonium hydrogenorthophosphate (diammonium phosphate)",fertilizer mineral chemical diammonium hydrogenorthophosphate diammonium phosphate
,,310540.0,"Fertilizers, mineral or chemical; ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate)",fertilizer mineral chemical ammonium dihydrogenorthophosphate monoammonium phosphate mixture thereof diammonium hydrogenorthophosphate diammonium phosphate
,,310551.0,"Fertilizers, mineral or chemical; containing nitrates and phosphates",fertilizer mineral chemical contain nitrate phosphate
,,310559.0,"Fertilizers, mineral or chemical; containing the two fertilizing elements nitrogen and phosphorus, other than nitrates and phosphates",fertilizer mineral chemical contain fertilize element nitrogen phosphorus nitrate phosphate
,,310560.0,"Fertilizers, mineral or chemical; containing the two fertilizing elements phosphorus and potassium",fertilizer mineral chemical contain fertilize element phosphoru potassium
,,310590.0,"Fertilizers, mineral or chemical; n.e.c. in heading no. 3105",fertilizer mineral chemical head
,,320110.0,Tanning extracts of vegetable origin; quebracho extract,tanning extract vegetable origin quebracho extract
,,320120.0,Tanning extracts of vegetable origin; wattle extract,tanning extract vegetable origin wattle extract
,,320190.0,"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives, (excluding quebracho or wattle extract)",tanning extract vegetable origin tannin salt ether ester derivative exclude quebracho wattle extract
,,320210.0,Tanning substances; synthetic organic tanning substances,tanning substance synthetic organic tanning substance
,,320290.0,"Tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre- tanning",tanning substance inorganic tanning substance tan preparation contain natural tanning substance enzymatic preparation tanning
,,320300.0,"Colouring matter of vegetable or animal origin, including dyeing extracts not animal black, whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin",colour matter vegetable animal origin include dyeing extract animal black chemically define preparation base colour matter vegetable animal origin
,,320411.0,Dyes; disperse dyes and preparations based thereon,dye disperse dye preparation base thereon
,,320412.0,"Dyes; acid, whether or not premetallised and preparations based thereon, mordant dyes and preparations based thereon",dye acid premetallise preparation base thereon mordant dye preparation base thereon
,,320413.0,Dyes; basic dyes and preparations based thereon,dye basic dye preparation base thereon
,,320414.0,Dyes; direct dyes and preparations based thereon,dye direct dye preparation base thereon
,,320415.0,Dyes; vat dyes (including those usable in that state as pigments) and preparations based thereon,dye vat dye include usable state pigment preparation base thereon
,,320416.0,Dyes; reactive dyes and preparations based thereon,dye reactive dye preparation base thereon
,,320417.0,Dyes; pigments and preparations based thereon,dye pigment preparation base thereon
,,320418.0,Dyes; carotenoid colouring matters and preparations based thereon,dye carotenoid colour matter preparation base thereon
,,320419.0,"Dyes; n.e.c., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19",dye include mixture colour matter item
,,320420.0,Dyes; synthetic organic products of a kind used as fluorescent brightening agents,dye synthetic organic product kind fluorescent brightening agent
,,320490.0,"Dyes; synthetic organic products n.e.c. in heading no. 3204 (e.g. of a kind used as luminophores), whether or not chemically defined",dye synthetic organic product head kind luminophore chemically define
,,320500.0,Colour lakes; preparations based on colour lakes as specified in note 3 to this chapter,colour lake preparation base colour lake specify note chapter
,,320611.0,"Colouring matter; pigments and preparations based on titanium dioxide, containing 80% or more by weight of titanium dioxide calculated on the dry matter",colour matter pigment preparation base titanium dioxide contain weight titanium dioxide calculate dry matter
,,320619.0,"Colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight",colour matter pigment preparation base titanium dioxide contain weight titanium dioxide calculate dry weight
,,320620.0,Colouring matter; pigments and preparations based on chromium compounds,colour matter pigment preparation base chromium compound
,,320641.0,Colouring matter; ultramarine and preparations based thereon,colour matter ultramarine preparation base thereon
,,320642.0,Colouring matter; lithopone and other pigments and preparations based on zinc sulphide,colour matter lithopone pigment preparation base zinc sulphide
,,320649.0,Colouring matter; other preparations n.e.c. in item no. 3206.4,colour matter preparation item
,,320650.0,Colouring matter; inorganic products of a kind used as luminophores,colour matter inorganic product kind luminophore
,,320710.0,"Pigments; prepared pigments, opacifiers, colours and similar preparations",pigment prepared pigment opacifier colour similar preparation
,,320720.0,"Enamels and glazes; vitrifiable enamels and glazes, engobes (slips) and similar preparations",enamel glaze vitrifiable enamel glaze engobe slips similar preparation
,,320730.0,Lustres; liquid lustres and similar preparations,lustre liquid lustre similar preparation
,,320740.0,"Glass; glass frit and other glass, in the form of powder, granules or flakes",glass glass frit glass form powder granule flake
,,320810.0,"Paints and varnishes; based on polyesters, dispersed or dissolved in a non-aqueous medium",paint varnish base polyester disperse dissolve non aqueous medium
,,320820.0,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",paint varnish base acrylic vinyl polymer disperse dissolve non aqueous medium
,,320890.0,"Paints and varnishes; based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium",paint varnish base polymer head disperse dissolve non aqueous medium
,,320910.0,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium",paint varnish base acrylic vinyl polymer disperse dissolve aqueous medium
,,320990.0,"Paints and varnishes; (based on polymers other than acrylic or vinyl), dispersed or dissolved in an aqueous medium",paint varnish base polymer acrylic vinyl disperse dissolve aqueous medium
,,321000.0,"Paints and varnishes; (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather",paint varnish include enamel lacquer distemper prepare water pigment kind finish leather
,,321100.0,Driers; prepared,drier prepare
,,321210.0,"Pigments; of a kind used in the manufacture of paints, stamping foils",pigment kind manufacture paint stamp foil
,,321290.0,"Pigments; of a kind used in the manufacture of paints, other than stamping foils",pigment kind manufacture paint stamp foil
,,321310.0,"Colours; in sets, of a kind used by artists, students or signboard painters",colour set kind artist student signboard painter
,,321390.0,"Colours; (other than in sets), of a kind used by artists, students or signboard painters",colour set kind artist student signboard painter
,,321410.0,Mastics; painters' fillings,mastic painter filling
,,321490.0,Mastics; n.e.c. in heading no. 3214,mastic head
,,321511.0,"Ink; for printing, black, whether or not concentrated or solid",ink printing black concentrated solid
,,321519.0,"Ink; for printing, other than black, whether or not concentrated or solid",ink printing black concentrated solid
,,321590.0,"Ink; writing, drawing and other inks, n.e.c. in heading no. 3215, whether or not concentrated or solid",ink writing drawing ink head concentrated solid
,,330112.0,"Oils, essential; of orange (terpeneless or not), including concretes and absolutes",oil essential orange terpeneless include concrete absolute
,,330113.0,"Oils, essential; of lemon (terpeneless or not), including concretes and absolutes",oil essential lemon terpeneless include concrete absolute
,,330119.0,"Oils, essential; of citrus fruits n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",oil essential citrus fruit head terpeneless include concrete absolute
,,330124.0,"Oils, essential; of peppermint (Mentha piperita), terpeneless or not, including concretes and absolutes",oil essential peppermint mentha piperita terpeneless include concrete absolute
,,330125.0,"Oils, essential; of mints (excluding peppermint), terpeneless or not, including concretes and absolutes",oil essential mint exclude peppermint terpeneless include concrete absolute
,,330129.0,"Oils, essential; n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes",oil essential head terpeneless include concrete absolute
,,330130.0,Resinoids,resinoid
,,330190.0,"Oils, essential; concentrates in fats, fixed oils, waxes and the like, terpenic by-products, aqueous distillates and solutions, extracted oleoresins, n.e.c. in heading no. 3301",oil essential concentrate fat fix oil wax like terpenic product aqueous distillate solution extract oleoresin head
,,330210.0,Odoriferous substances and mixtures; of a kind used in the food or drink industries,odoriferous substance mixture kind food drink industry
,,330290.0,Odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries,odoriferous substance mixture raw material industry food drink industry
,,330300.0,Perfumes and toilet waters,perfume toilet water
,,330410.0,Cosmetic and toilet preparations; lip make-up,cosmetic toilet preparation lip
,,330420.0,Cosmetic and toilet preparations; eye make-up,cosmetic toilet preparation eye
,,330430.0,Cosmetic and toilet preparations; manicure or pedicure preparations,cosmetic toilet preparation manicure pedicure preparation
,,330491.0,"Cosmetic and toilet preparations; powders, whether or not compressed (excluding lip, eye, manicure or pedicure preparations)",cosmetic toilet preparation powder compress exclude lip eye manicure pedicure preparation
,,330499.0,"Cosmetic and toilet preparations; n.e.c. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)",cosmetic toilet preparation head care skin exclude medicament include sunscreen sun tan preparation
,,330510.0,Hair preparations; shampoos,hair preparation shampoo
,,330520.0,Hair preparations; for permanent waving or straightening,hair preparation permanent waving straighten
,,330530.0,Hair preparations; lacquers,hair preparation lacquer
,,330590.0,Hair preparations; n.e.c. in heading no. 3305,hair preparation head
,,330610.0,Oral or dental hygiene preparations; dentifrices,oral dental hygiene preparation dentifrice
,,330620.0,Oral or dental hygiene preparations; yarn used to clean between the teeth (dental floss),oral dental hygiene preparation yarn clean tooth dental floss
,,330690.0,Oral or dental hygiene preparations; other than dentifrices,oral dental hygiene preparation dentifrice
,,330710.0,"Perfumery, cosmetic or toilet preparations; pre-shave, shaving or after-shave preparations",perfumery cosmetic toilet preparation pre shave shaving shave preparation
,,330720.0,"Perfumery, cosmetic or toilet preparations; personal deodorants and antiperspirants",perfumery cosmetic toilet preparation personal deodorant antiperspirant
,,330730.0,"Perfumery, cosmetic or toilet preparations; perfumed bath salts and other bath preparations",perfumery cosmetic toilet preparation perfume bath salt bath preparation
,,330741.0,"Perfumes and deodorizers; perfuming or deodorizing preparations for rooms, agarbatti and other odoriferous preparations which operate by burning (including those used during religious rites)",perfume deodorizer perfume deodorize preparation room agarbatti odoriferous preparation operate burn include religious rite
,,330749.0,"Perfumes and deodorizers; perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)",perfume deodorizer perfume deodorize preparation room exclude operate burn
,,330790.0,Perfumes and deodorizers; perfuming or deodorizing preparations n.e.c. in heading no. 3307,perfume deodorizer perfume deodorize preparation head
,,340111.0,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use (including medicated products)",soap organic surface active product form bar cake mould shape paper wadding feel nonwoven impregnate coat cover soap detergent toilet use include medicated product
,,340119.0,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",soap organic surface active product form bar cake mould shape paper wadding feel nonwoven impregnate coat cover soap detergent toilet use
,,340120.0,Soap; in forms n.e.c. in item no. 3401.11,soap form item
,,340130.0,"Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap",organic surface active product preparation wash skin form liquid cream retail sale contain soap
,,340231.0,"Anionic organic surface-active agents (other than soap); linear alkylbenzene sulphonic acids and their salts, whether or not put up for retail sale",anionic organic surface active agent soap linear alkylbenzene sulphonic acid salt retail sale
,,340239.0,"Anionic organic surface-active agents (other than soap); other than linear alkylbenzene sulphonic acids and their salts, whether or not put up for retail sale",anionic organic surface active agent soap linear alkylbenzene sulphonic acid salt retail sale
,,340241.0,"Organic surface-active agents; cationic (other than soap), whether or not put up for retail sale",organic surface active agent cationic soap retail sale
,,340242.0,"Organic surface-active agents; non-ionic (other than soap), whether or not put up for retail sale",organic surface active agent non ionic soap retail sale
,,340249.0,"Organic surface-active agents; whether or not put up for retail sale, n.e.c. in item no. 3402",organic surface active agent retail sale item
,,340250.0,"Washing and cleaning preparations; powders, flakes and granules, surface-active, whether or not containing soap (excluding those of heading no. 3401), put up for retail sale",washing clean preparation powder flake granule surface active contain soap exclude head retail sale
,,340290.0,"Washing and cleaning preparations; surface-active, whether or not containing soap (excluding those of heading no. 3401), including auxiliary washing preparations, not for retail sale",washing clean preparation surface active contain soap exclude head include auxiliary washing preparation retail sale
,,340311.0,"Lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",lubricate preparation treatment textile similar material leather furskin etc contain weight petroleum oil oil obtain bituminous mineral
,,340319.0,"Lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",lubricate preparation treatment textile similar material contain weight petroleum oil oil obtain bituminous mineral
,,340391.0,"Lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), (not containing petroleum oils or oils obtained from bituminous minerals)",lubricate preparation treatment textile similar material leather furskin etc contain petroleum oil oil obtain bituminous mineral
,,340399.0,"Lubricating preparations; other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals",lubricate preparation treatment textile similar material contain petroleum oil oil obtain bituminous mineral
,,340420.0,"Waxes; artificial and prepared, of poly(oxyethylene) (polyethylene glycol)",wax artificial prepared polyethylene glycol
,,340490.0,"Waxes; artificial and prepared, other than of polyethylene glycol",wax artificial prepared polyethylene glycol
,,340510.0,"Polishes, creams and similar preparations; for footwear or leather, excluding waxes of heading no. 3404",polish cream similar preparation footwear leather exclude wax head
,,340520.0,"Polishes, creams and similar preparations; for the maintenance of wooden furniture, floors or other woodwork, excluding waxes of heading no. 3404",polish cream similar preparation maintenance wooden furniture floor woodwork exclude wax head
,,340530.0,"Polishes, creams and similar preparations; for coachwork, other than metal polishes, excluding waxes of heading no. 3404",polish cream similar preparation coachwork metal polish exclude wax head
,,340540.0,"Scouring pastes and powders and other scouring preparations; (whether or not in the form of paper, wadding, felt, nonwovens, cellular plastics, cellular rubber, impregnated, coated or covered)",scour paste powder scour preparation form paper wadding feel nonwoven cellular plastic cellular rubber impregnate coated cover
,,340590.0,"Polishes, creams and similar preparations; n.e.c. in heading no. 3405, excluding waxes of heading no. 3404",polish cream similar preparation head exclude wax head
,,340600.0,"Candles, tapers and the like",candle taper like
,,340700.0,"Modelling pastes; preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry",modelling paste preparation know dental wax set packing retail sale plate horseshoe shape stick similar form preparation use dentistry
,,350110.0,Casein,casein
,,350190.0,Caseinates and other casein derivatives; casein glues,caseinate casein derivative casein glue
,,350211.0,"Albumins; egg albumin, dried",albumin egg albumin dry
,,350219.0,"Albumins; egg albumin, not dried",albumin egg albumin dry
,,350220.0,"Albumins; milk albumin, including concentrates of two or more whey proteins",albumin milk albumin include concentrate whey protein
,,350290.0,"Albumins, albuminates and other albumin derivatives; other than egg or milk albumin, including concentrates of two or more whey proteins",albumin albuminate albumin derivative egg milk albumin include concentrate whey protein
,,350300.0,"Gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading no. 3501",gelatin include gelatin rectangular sheet surface work colour gelatin derivative isinglass glue animal origin exclude casein glue head
,,350400.0,"Peptones and their derivatives; other protein substances and their derivatives n.e.c. or included, hide powder, whether or not chromed",peptone derivative protein substance derivative include hide powder chrome
,,350510.0,Dextrins and other modified starches,dextrin modify starch
,,350520.0,"Glues; based on starches, or on dextrins or other modified starches",glue base starch dextrin modify starch
,,350610.0,"Glues or adhesives; prepared, products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1kg",glue adhesive prepared product suitable use glue adhesive retail sale glue adhesive exceed net weight kg
,,350691.0,"Adhesives; prepared, based on polymers of heading 3901 to 3913 or on rubber",adhesive prepare base polymer head rubber
,,350699.0,"Glues and other adhesives; prepared, n.e.c. in heading no. 3506, not exceeding a net weight of 1kg",glue adhesive prepared head exceed net weight kg
,,350710.0,Enzymes; rennet and concentrates thereof,enzyme rennet concentrate thereof
,,350790.0,Enzymes and prepared enzymes; other than rennet and concentrates thereof,enzyme prepared enzyme rennet concentrate thereof
,,360100.0,Explosives; propellent powders,explosive propellent powder
,,360200.0,"Explosives, prepared; other than propellent powders",explosive prepare propellent powder
,,360310.0,Safety fuses,safety fuse
,,360320.0,Detonating cords,detonate cord
,,360330.0,Percussion caps,percussion cap
,,360340.0,Detonating caps,detonate cap
,,360350.0,Igniters,igniter
,,360360.0,Electric detonators,electric detonator
,,360410.0,Pyrotechnic products; fireworks,pyrotechnic product firework
,,360490.0,"Pyrotechnic products; signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding fireworks)",pyrotechnic product signal flare rain rocket fog signal pyrotechnic article exclude firework
,,360500.0,Matches; other than pyrotechnic articles of heading no. 3604,match pyrotechnic article head
,,360610.0,"Fuels; liquid or liquefied-gas, in containers, of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300cm3",fuel liquid liquefy gas container kind fill refill cigarette similar lighter capacity exceed
,,360690.0,Ferro-cerium and other pyrophoric alloys in all forms; articles of combustible materials n.e.c. in chapter 36,ferro cerium pyrophoric alloy form article combustible material chapter
,,370110.0,"Photographic plates and film; for x-ray, in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles",photographic plate film x ray flat sensitised unexposed material paper paperboard textile
,,370120.0,"Photographic plates and film; instant print film, in the flat, sensitised, unexposed, whether or not in packs",photographic plate film instant print film flat sensitised unexposed pack
,,370130.0,"Photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",photographic plate film flat sensitised unexposed exceed mm material paper paperboard textile
,,370191.0,"Photographic plates and film; for colour photography (polychrome), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",photographic plate film colour photography polychrome flat sensitised unexposed exceed mm material paper paperboard textile
,,370199.0,"Photographic plates and film; (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles",photographic plate film colour photography flat sensitised unexposed exceed mm material paper paperboard textile
,,370210.0,"Photographic film; for x-rays, in rolls, sensitised and unexposed (other than of paper, paperboard or textiles)",photographic film x ray roll sensitise unexpose paper paperboard textile
,,370231.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed sprocket hole width exceed mm paper paperboard textile
,,370232.0,"Photographic film; in rolls, with silver halide emulsion, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",photographic film roll silver halide emulsion sensitised unexposed sprocket hole width exceed mm paper paperboard textile
,,370239.0,"Photographic film; in rolls, (other than with silver halide emulsion and for colour photography), sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)",photographic film roll silver halide emulsion colour photography sensitise unexposed sprocket hole width exceed mm paper paperboard textile
,,370241.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed sprocket hole width exceed mm length exceed m paper paperboard textile
,,370242.0,"Photographic film; in rolls, (other than for colour photography), sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)",photographic film roll colour photography sensitise unexposed sprocket hole width exceed mm length exceed m paper paperboard textile
,,370243.0,"Photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length not exceeding 200m (other than of paper, paperboard or textiles)",photographic film roll sensitise unexposed sprocket hole width exceed mm length exceed m paper paperboard textile
,,370244.0,"Photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 105mm but not exceeding 610mm (other than of paper, paperboard or textiles)",photographic film roll sensitise unexposed sprocket hole width exceed mm exceed mm paper paperboard textile
,,370252.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width not exceeding 16mm (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed width exceed mm paper paperboard textile
,,370253.0,"Photographic film; for colour photography (polychrome) slides, in rolls, sensitised, unexposed, of a width exceeding 16mm but not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)",photographic film colour photography polychrome slide roll sensitise unexposed width exceed mm exceed mm length exceed m paper paperboard textile
,,370254.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length not exceeding 30m, excluding film for slides (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed width exceed mm mm length exceed m exclude film slide paper paperboard textile
,,370255.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length exceeding 30m (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed width exceed mm mm length exceed m paper paperboard textile
,,370256.0,"Photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)",photographic film colour photography polychrome roll sensitise unexposed width exceed mm paper paperboard textile
,,370296.0,"Photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)",photographic film colour photography roll sensitise unexposed width exceed mm length exceed m paper paperboard textile
,,370297.0,"Photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length exceeding 30m (other than paper, paperboard or textiles)",photographic film colour photography roll sensitise unexposed width exceed mm length exceed m paper paperboard textile
,,370298.0,"Photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)",photographic film colour photography roll sensitise unexposed width exceed mm paper paperboard textile
,,370310.0,"Photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm",photographic paper paperboard textile roll sensitise unexposed width exceed mm
,,370320.0,"Photographic paper, paperboard and textiles; for colour photography (polychrome), (other than in rolls of a width exceeding 610mm), sensitised, unexposed",photographic paper paperboard textile colour photography polychrome roll width exceed mm sensitise unexpose
,,370390.0,"Photographic paper, paperboard and textiles; (for other than colour photography, other than in rolls of a width exceeding 610mm), sensitised, unexposed",photographic paper paperboard textile colour photography roll width exceed mm sensitise unexpose
,,370400.0,"Photographic plates, film, paper, paperboard and textiles; exposed but not developed",photographic plate film paper paperboard textile expose develop
,,370500.0,"Photographic plates and film; exposed and developed, other than cinematographic film",photographic plate film expose develop cinematographic film
,,370610.0,"Cinematographic film; exposed and developed, whether or not incorporating sound track or consisting only of sound track, of a width of 35cm or more",cinematographic film expose develop incorporate sound track consist sound track width cm
,,370690.0,"Cinematographic film; exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm",cinematographic film expose develop incorporate sound track consist sound track width mm
,,370710.0,"Photographic goods; sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",photographic good sensitised emulsion measure portion retail sale form ready use
,,370790.0,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",photographic good chemical preparation sensitised emulsion measure portion retail sale form ready use
,,380110.0,Graphite; artificial,graphite artificial
,,380120.0,Graphite; colloidal or semi-colloidal,graphite colloidal semi colloidal
,,380130.0,Carbonaceous pastes; for electrodes and similar pastes for furnace linings,carbonaceous paste electrode similar paste furnace lining
,,380190.0,"Graphite or other carbon based preparations; in the form of pastes, blocks, plates or other semi-manufactures",graphite carbon base preparation form paste block plate semi manufacture
,,380210.0,Carbon; activated,carbon activate
,,380290.0,"Chemical products; activated natural mineral products, animal black, including spent animal black",chemical product activate natural mineral product animal black include spend animal black
,,380300.0,"Chemical products; tall oil, whether or not refined",chemical product tall oil refine
,,380400.0,"Lyes, residual; from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates but excluding tall oil of heading no. 3803",lyes residual manufacture wood pulp concentrate desugare chemically treat include lignin sulphonate exclude tall oil head
,,380510.0,"Terpenic oils; gum, wood or sulphate turpentine oils",terpenic oil gum wood sulphate turpentine oil
,,380590.0,"Terpenic oils; produced by the treatment of coniferous woods, crude dipentene, sulphite turpentine and other crude para-cymene, n.e.c. in heading no. 3805",terpenic oil produce treatment coniferous wood crude dipentene sulphite turpentine crude para cymene head
,,380610.0,Rosin and resin acids,rosin resin acid
,,380620.0,"Rosin and resin; salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts",rosin resin salt rosin resin acid derivative rosin resin acid salt rosin adduct
,,380630.0,Ester gums,ester gum
,,380690.0,"Rosin; spirit and oils, n.e.c. in heading no. 3806",rosin spirit oil head
,,380700.0,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",wood tar wood tar oil wood creosote wood naphtha vegetable pitch brewer pitch similar preparation base rosin resin acid vegetable pitch
,,380852.0,"Insecticides and the like; containing goods specified in Subheading Note 1 to this Chapter; for retail sale or as preparations or articles; DDT (ISO) (clofenotane (INN)), in packings of 300g or less",insecticide like contain good specify subheade note chapter retail sale preparation article ddt iso clofenotane inn packing g
,,380859.0,"Insecticides, rodenticides, fungicides, disinfectants, herbicides and the like; containing goods specified in Subheading Note 1 to this Chapter; not DDT (ISO) (clofenotane (INN)), put up in forms or packings for retail sale or as preparations or articles",insecticide rodenticide fungicide disinfectant herbicide like contain good specify subheade note chapter ddt iso clofenotane inn form packing retail sale preparation article
,,380861.0,Insecticides and the like; containing goods specified in Subheading Note 2 to this Chapter; in packings of a net weight content not exceeding 300g; for retail sale or as preparations or articles,insecticide like contain good specify subheade note chapter packing net weight content exceed g retail sale preparation article
,,380862.0,"Insecticides; containing goods specified in Subheading Note 2 to this Chapter; put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 300g but not exceeding 7.5kg",insecticide contain good specify subheade note chapter form packing retail sale preparation article packing net weight content exceed g exceed kg
,,380869.0,"Insecticides; containing goods named in Subheading Note 2 to this Chapter, put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 7.5kg",insecticide contain good name subheade note chapter form packing retail sale preparation article packing net weight content exceed kg
,,380891.0,Insecticides; other than containing goods specified in Subheading Notes 1 & 2 to this Chapter; put up in forms or packings for retail sale or as preparations or articles,insecticide contain good specify subheade note chapter form packing retail sale preparation article
,,380892.0,Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles,fungicide contain good specify subheade note chapter form packing retail sale preparation article
,,380893.0,"Herbicides, anti-sprouting products and plant-growth regulators; other than containing goods of Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles",herbicide anti sprouting product plant growth regulator contain good subheade note chapter form packing retail sale preparation article
,,380894.0,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,disinfectant contain good specify subheade note chapter form packing retail sale preparation article
,,380899.0,"Rodenticides and other similar products n.e.c. in heading no. 3808.9; other than containing goods specified in Subheading Note 1 in this Chapter, put up in forms or packings for retail sale or as preparations or articles",rodenticide similar product head contain good specify subheade note chapter form packing retail sale preparation article
