HS2,HS4,HS6,description,clean_description
,,20630.0,"Offal, edible; of swine, fresh or chilled",offal edible swine fresh chill
,,20641.0,"Offal, edible; of swine, livers, frozen",offal edible swine liver frozen
,,20649.0,"Offal, edible; of swine, (other than livers), frozen",offal edible swine liver frozen
,,20680.0,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",offal edible sheep goat horse ass mule hinny fresh chill
,,20690.0,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",offal edible sheep goat horse ass mule hinny frozen
,,20711.0,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",meat edible offal fowl specie gallus domesticus cut piece fresh chill
,,20712.0,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",meat edible offal fowl specie gallus domesticus cut piece frozen
,,20713.0,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",meat edible offal fowl specie gallus domesticus cut offal fresh chill
,,20714.0,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",meat edible offal fowl specie gallus domesticus cut offal frozen
,,20724.0,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",meat edible offal turkey cut piece fresh chill
,,20725.0,"Meat and edible offal; of turkeys, not cut in pieces, frozen",meat edible offal turkey cut piece frozen
,,20726.0,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",meat edible offal turkey cut offal fresh chill
,,20727.0,"Meat and edible offal; of turkeys, cuts and offal, frozen",meat edible offal turkey cut offal frozen
,,20741.0,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",meat edible offal duck cut piece fresh chill
,,20742.0,"Meat and edible offal; of ducks, not cut in pieces, frozen",meat edible offal duck cut piece frozen
,,20743.0,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",meat edible offal duck fatty liver foie gra fresh chill
,,20744.0,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",meat edible offal duck cut offal exclude fatty liver fresh chill
,,20745.0,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",meat edible offal duck cut offal exclude fatty liver frozen
,,20751.0,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",meat edible offal geese cut piece fresh chill
,,20752.0,"Meat and edible offal; of geese, not cut in pieces, frozen",meat edible offal geese cut piece frozen
,,20753.0,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled",meat edible offal geese fatty liver foie gra fresh chill
,,20754.0,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled",meat edible offal geese cut offal exclude fatty liver fresh chill
,,20755.0,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen",meat edible offal geese cut offal exclude fatty liver frozen
,,20760.0,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",meat edible offal guinea fowl fresh chilled frozen
,,20810.0,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",meat edible meat offal rabbit hare fresh chilled frozen
,,20830.0,"Meat and edible meat offal; of primates, fresh, chilled or frozen",meat edible meat offal primate fresh chilled frozen
,,20840.0,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen",meat edible meat offal whale dolphin porpoise mammal order cetacea manatee dugong mammal order sirenia seal sea lion walrus mammal suborder pinnipedia fresh chilled frozen
,,20850.0,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen",meat edible meat offal reptile include snake turtle fresh chilled frozen
,,20860.0,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",meat edible meat offal camel camelid camelidae fresh chilled frozen
,,20890.0,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",meat edible meat offal chapter fresh chilled frozen
,,20910.0,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",fat pig fat free lean meat render extract fresh chilled frozen salt brine dry smoke
,,20990.0,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",fat poultry fat render extract fresh chilled frozen salt brine dry smoke
,,21011.0,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",meat salt brine dry smoke swine ham shoulder cut thereof bone
,,21012.0,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",meat salt brine dry smoke swine belly streaky cut thereof
,,21019.0,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",meat salt brine dry smoke swine item
,,21020.0,"Meat; salted, in brine, dried or smoked, of bovine animals",meat salt brine dry smoke bovine animal
,,21091.0,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",meat edible meat offal salt brine dry smoke edible flour meal meat meat offal primate
,,21092.0,"Meat and edible meat offal; salted, in brine, dried or smoked; edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea); manatees, dugongs (of order Sirenia); seals, sea lions, and walruses (of suborder Pinnipedia)",meat edible meat offal salt brine dry smoke edible flour meal meat meat offal whale dolphin porpoise order cetacea manatee dugong order sirenia seal sea lion walrus suborder pinnipedia
,,21093.0,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)",meat edible meat offal salt brine dry smoke edible flour meal meat meat offal reptile include snake turtle
,,21099.0,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",meat edible meat offal salt brine dry smoke edible flour meal meat meat offal primate whale dolphin porpoise manatee dugong seal sea lion walrus reptile include snake turtle
,,30111.0,"Fish; live, ornamental, freshwater",fish live ornamental freshwater
,,30119.0,"Fish; live, ornamental, other than freshwater",fish live ornamental freshwater
,,30191.0,"Fish; live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",fish live trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache oncorhynchus chrysogaster
,,30192.0,"Fish; live, eels (Anguilla spp.)",fish live eel anguilla spp
,,30193.0,"Fish; live, carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",fish live carp cyprinus spp carassius spp ctenopharyngodon idellus hypophthalmichthy spp cirrhinus spp mylopharyngodon piceus catla catla labeo spp osteochilus hasselti leptobarbus hoeveni megalobrama spp
,,30194.0,"Fish; live, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",fish live atlantic pacific bluefin tuna thunnu thynnus thunnu orientali
,,30195.0,"Fish; live, southern bluefin tunas (Thunnus maccoyii)",fish live southern bluefin tuna thunnu maccoyii
,,30199.0,"Fish; live, n.e.c. in heading 0301",fish live head
,,30211.0,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",fish fresh chilled trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache oncorhynchus chrysogaster exclude fillet fish meat edible fish offal
,,30213.0,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",fish fresh chilled pacific salmon oncorhynchus nerka oncorhynchus gorbuscha oncorhynchus keta oncorhynchus tschawytscha oncorhynchus kisutch oncorhynchus masou oncorhynchus rhodurus fillet meat edible fish offal
,,30214.0,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled atlantic salmon salmo salar danube salmon hucho hucho exclude fillet fish meat edible fish offal subheading
,,30219.0,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled salmonidae item exclude fillet fish meat edible fish offal subheading
,,30221.0,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled halibut reinhardtius hippoglossoide hippoglossus hippoglossus hippoglossus stenolepis exclude fillet fish meat edible fish offal subheading
,,30222.0,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled plaice pleuronecte platessa exclude fillet fish meat edible fish offal subheading
,,30223.0,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled sole solea spp exclude fillet fish meat edible fish offal subheading
,,30224.0,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled turbot psetta maxima scophthalmidae exclude fillet fish meat edible fish offal subheading
,,30229.0,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled flat fish item exclude fillet fish meat edible fish offal subheading
,,30231.0,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled albacore longfinned tuna thunnu alalunga exclude fillet fish meat edible fish offal subheading
,,30232.0,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled yellowfin tuna thunnu albacare exclude fillet fish meat edible fish offal subheading
