description,HS6
meat salted in brine dried or smoked of swine hams shoulders and cuts thereof with bone in,21011.0
meat salted in brine dried or smoked of swine bellies streaky and cuts thereof,21012.0
meat salted in brine dried or smoked of swine nec in item no 02101,21019.0
meat salted in brine dried or smoked of bovine animals,21020.0
meat and edible meat offal salted in brine dried or smoked and edible flours and meals of meat or meat offal of primates,21091.0
meat and edible meat offal salted in brine dried or smoked edible flours meals of meat or meat offal of whales dolphins porpoises of order cetacea manatees dugongs of order sirenia seals sea lions and walruses of suborder pinnipedia,21092.0
meat and edible meat offal salted in brine dried or smoked and edible flours and meals of meat or meat offal of reptiles including snakes and turtles,21093.0
meat and edible meat offal salted in brine dried or smoked and edible flours and meals of meat or meat offal other than of primates whales dolphins porpoises manatees dugongs seals sea lions walruses reptiles including snakes and turtles,21099.0
fish live ornamental freshwater,
fish live ornamental freshwater,
fish live ornamental freshwater,30111.0
fish live ornamental other than freshwater,30119.0
fish live trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster,30191.0
fish live eels anguilla spp,30192.0
fish live carp cyprinus spp carassius spp ctenopharyngodon idellus hypophthalmichthys spp cirrhinus spp mylopharyngodon piceus catla catla labeo spp osteochilus hasselti leptobarbus hoeveni megalobrama spp,30193.0
fish live atlantic and pacific bluefin tunas thunnus thynnus thunnus orientalis,30194.0
fish live southern bluefin tunas thunnus maccoyii,30195.0
fish live nec in heading 0301,30199.0
fish fresh or chilled trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster excluding fillets fish meat of 0304 and edible fish offal of 03029,
fish fresh or chilled trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster excluding fillets fish meat of 0304 and edible fish offal of 03029,30211.0
fish fresh or chilled pacific salmon oncorhynchus nerka oncorhynchus gorbuscha oncorhynchus keta oncorhynchus tschawytscha oncorhynchus kisutch oncorhynchus masou oncorhynchus rhodurus not fillets meat of 0304 and edible fish offal of 03029,30213.0
fish fresh or chilled atlantic salmon salmo salar and danube salmon hucho hucho excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30214.0
fish fresh or chilled salmonidae nec in item no 03021 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30219.0
fish fresh or chilled halibut reinhardtius hippoglossoides hippoglossus hippoglossus hippoglossus stenolepis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30221.0
fish fresh or chilled plaice pleuronectes platessa excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30222.0
fish fresh or chilled sole solea spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30223.0
fish fresh or chilled turbots psetta maxima scophthalmidae excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30224.0
fish fresh or chilled flat fish nec in item no 03022 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30229.0
fish fresh or chilled albacore or longfinned tunas thunnus alalunga excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30231.0
fish fresh or chilled yellowfin tunas thunnus albacares excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30232.0
fish fresh or chilled skipjack tuna stripebellied bonito katsuwonus pelamis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30233.0
fish fresh or chilled bigeye tunas thunnus obesus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30234.0
fish fresh or chilled atlantic and pacific bluefin tunas thunnus thynnus thunnus orientalis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30235.0
fish fresh or chilled southern bluefin tunas thunnus maccoyii excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30236.0
fish fresh or chilled tuna nec in item no 03023 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30239.0
fish fresh or chilled herrings clupea harengus clupea pallasii excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30241.0
fish fresh or chilled anchovies engraulis spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30242.0
fish fresh or chilled sardines sardina pilchardus sardinops spp sardinella sardinella spp brisling or sprats sprattus sprattus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30243.0
fish fresh or chilled mackerel scomber scombrus scomber australasicus scomber japonicus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30244.0
fish fresh or chilled jack and horse mackerel trachurus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30245.0
fish fresh or chilled cobia rachycentron canadum excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30246.0
fish fresh or chilled swordfish xiphias gladius excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30247.0
fish fresh or chilled nec in item no 03024 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30249.0
fish fresh or chilled cod gadus morhua gadus ogac gadus macrocephalus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30251.0
fish fresh or chilled haddock melanogrammus aeglefinus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30252.0
fish fresh or chilled coalfish pollachius virens excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30253.0
fish fresh or chilled hake merluccius spp urophycis spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30254.0
fish fresh or chilled alaska pollock theragra chalcogramma excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30255.0
fish fresh or chilled blue whitings micromesistius poutassou micromesistius australisexcluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30256.0
fish fresh or chilled nec in item no 03025 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30259.0
fish fresh or chilled tilapias oreochromis spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30271.0
fish fresh or chilled catfish pangasius spp silurus spp clarias spp ictalurus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30272.0
fish fresh or chilled carp as specified by the wco excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30273.0
fish fresh or chilled eels anguilla spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30274.0
fish fresh or chilled nile perch lates niloticus and snakeheads channa spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30279.0
fish fresh or chilled dogfish and other sharks excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30281.0
fish fresh or chilled rays and skates rajidae excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30282.0
fish fresh or chilled toothfish dissostichus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30283.0
fish fresh or chilled seabass dicentrarchus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30284.0
fish fresh or chilled seabream sparidae excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30285.0
fish fresh or chilled nec in heading 0302 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030291 to 030299,30289.0
fish fresh or chilled livers roes and milt,30291.0
fish fresh or chilled shark fins,30292.0
fish fresh or chilled fish fins other than shark fins heads tails maws and other edible fish offal,30299.0
fish frozen pacific salmon sockeye salmon red salmon oncorhynchus nerka excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,
fish frozen pacific salmon sockeye salmon red salmon oncorhynchus nerka excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30311.0
fish frozen pacific salmon oncorhynchus gorbuschaketatschawytscha kisutchmasourhodurus other than sockeye salmon oncorhynchus nerka excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30312.0
fish frozen atlantic salmon salmo salar and danube salmon hucho hucho excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30313.0
fish frozen trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster excluding fillets meat of 0304 and edible fish offal of 030391 to 030399,30314.0
fish frozen salmonidae nec in item no 03031 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30319.0
fish frozen tilapias oreochromis spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30323.0
fish frozen catfish pangasius spp silurus spp clarias spp ictalurus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30324.0
fish frozen carp as specified by the wco excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30325.0
fish frozen eels anguilla spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30326.0
fish frozen nile perch lates niloticus and snakeheads channa spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30329.0
fish frozen halibut reinhardtius hippoglossoides hippoglossus hippoglossus hippoglossus stenolepis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30331.0
fish frozen plaice pleuronectes platessa excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30332.0
fish frozen sole solea spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30333.0
fish frozen turbots psetta maxima scophthalmidae excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30334.0
fish frozen flat fish nec in item no 03033 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30339.0
fish frozen albacore or longfinned tunas thunnus alalunga excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30341.0
fish frozen yellowfin tunas thunnus albacares excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30342.0
fish frozen skipjack tuna stripebellied bonito katsuwonus pelamis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30343.0
fish frozen bigeye tunas thunnus obesus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30344.0
fish frozen atlantic and pacific bluefin tunas thunnus thynnus thunnus orientalis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30345.0
fish frozen southern bluefin tunas thunnus maccoyii excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30346.0
fish frozen tuna nec in item no 03034 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30349.0
fish frozen herrings clupea harengus clupea pallasii excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30351.0
fish frozen sardines sardina pilchardus sardinops spp sardinella sardinella spp brisling or sprats sprattus sprattus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30353.0
fish frozen mackerel scomber scombrus scomber australasicus scomber japonicus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30354.0
fish frozen jack and horse mackerel trachurus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30355.0
fish frozen cobia rachycentron canadum excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30356.0
fish frozen swordfish xiphias gladius excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30357.0
fish frozen nec in item no 03035 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30359.0
fish frozen cod gadus morhua gadus ogac gadus macrocephalus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30363.0
fish frozen haddock melanogrammus aeglefinus excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30364.0
fish frozen coalfish pollachius virens excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30365.0
fish frozen hake merluccius spp urophycis spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30366.0
fish frozen alaska pollock theragra chalcogramma excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30367.0
fish frozen blue whitings micromesistius poutassou micromesistius australis excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30368.0
fish frozen of bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae muraenolepididae other than cod haddock coalfish hake alaska pollack blue whitings not fillets meat of 0304 and edible offal of 03039,30369.0
fish frozen dogfish and other sharks excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30381.0
fish frozen rays and skates rajidae excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30382.0
fish frozen toothfish dissostichus spp excluding fillets livers roes and edible fish offal of subheadings 030391 to 030399,30383.0
fish frozen seabass dicentrarchus spp excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30384.0
fish frozen nec in heading 0303 excluding fillets fish meat of 0304 and edible fish offal of subheadings 030391 to 030399,30389.0
fish frozen livers roes and milt,30391.0
fish frozen shark fins,30392.0
fish frozen fish fins other than shark fins heads tails maws and other edible fish offal,30399.0
fish fillets fresh or chilled tilapias oreochromis spp,
fish fillets fresh or chilled tilapias oreochromis spp,30431.0
fish fillets fresh or chilled catfish pangasius spp silurus spp clarias spp ictalurus spp,30432.0
fish fillets fresh or chilled nile perch lates niloticus,30433.0
fish fillets fresh or chilled carp as specified by the wco eels anguilla spp and snakeheads channa spp,30439.0
fish fillets fresh or chilled salmon pacific oncorhynchus nerka oncorhynchus gorbuscha oncorhynchus keta oncorhynchus tschawytscha oncorhynchus kisutch oncorhynchus masou and oncorhynchus rhodurus atlantic salmo salar danube hucho hucho,30441.0
fish fillets fresh or chilled trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster,30442.0
fish fillets fresh or chilled flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae and citharidae,30443.0
fish fillets fresh or chilled of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae,30444.0
fish fillets fresh or chilled swordfish xiphias gladius,30445.0
fish fillets fresh or chilled toothfish dissostichus spp,30446.0
fish fillets fresh or chilled dogfish and other sharks,30447.0
fish fillets fresh or chilled rays and skates rajidae,30448.0
fish fillets fresh or chilled other than fish of heading 03044,30449.0
fish meat excluding fillets whether or not minced fresh or chilled tilapias catfish carp eels nile perch and snakeheads,30451.0
fish meat excluding fillets whether or not minced fresh or chilled salmonidae,30452.0
fish meat excluding fillets whether or not minced fresh or chilled of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae,30453.0
fish meat excluding fillets whether or not minced fresh or chilled swordfish xiphias gladius,30454.0
fish meat excluding fillets whether or not minced fresh or chilled toothfish dissostichus spp,30455.0
fish meat excluding fillets whether or not minced fresh or chilled dogfish and other sharks,30456.0
fish meat excluding fillets whether or not minced fresh or chilled rays and skates rajidae,30457.0
fish meat excluding fillets whether or not minced fresh or chilled of fish nec in item no 03045,30459.0
fish fillets frozen tilapias oreochromis spp,30461.0
fish fillets frozen catfish pangasius spp silurus spp clarias spp ictalurus spp,30462.0
fish fillets frozen nile perch lates niloticus,30463.0
fish fillets frozen carp cyprinuscarassiusctenopharyngodon idellushypophthalmichthyscirrhinusmylopharyngodon piceuscatla catlalabeoosteochilus hasseltileptobarbus hoevenimegalobrama eels anguilla and snakeheads channa,30469.0
fish fillets frozen cod gadus morhua gadus ogac gadus macrocephalus,30471.0
fish fillets frozen haddock melanogrammus aeglefinus,30472.0
fish fillets frozen coalfish pollachius virens,30473.0
fish fillets frozen hake merluccius spp urophycis spp,30474.0
fish fillets frozen alaska pollock theragra chalcogramma,30475.0
fish fillets frozen of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae other than cod haddock coalfish hake and alaska pollock,30479.0
fish fillets frozen salmon pacific oncorhynchus nerka oncorhynchus gorbuscha oncorhynchus keta oncorhynchus tschawytscha oncorhynchus kisutch oncorhynchus masou oncorhynchus rhodurus atlantic salmo salar and danube hucho hucho,30481.0
fish fillets frozen trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache and oncorhynchus chrysogaster,30482.0
fish fillets frozen flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae and citharidae,30483.0
fish fillets frozen swordfish xiphias gladius,30484.0
fish fillets frozen toothfish dissostichus spp,30485.0
fish fillets frozen herrings clupea harengus clupea pallasii,30486.0
fish fillets frozen tunas of the genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis,30487.0
fish fillets frozen dogfish other sharks rays and skates rajidae,30488.0
fish fillets frozen of fish nec in heading 03048,30489.0
fish meat excluding fillets whether or not minced frozen swordfish xiphias gladius,30491.0
fish meat excluding fillets whether or not minced frozen toothfish dissostichus spp,30492.0
fish meat excluding fillets whether or not minced frozen tilapias catfish carp eels nile perch and snakeheads,30493.0
fish meat excluding fillets whether or not minced frozen alaska pollock theragra chalcogramma,30494.0
fish meat excluding fillets whether or not minced frozen of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae other than alaska pollock theragra chalcogramma,30495.0
fish meat excluding fillets whether or not minced frozen dogfish and other sharks,30496.0
fish meat excluding fillets whether or not minced frozen rays and skates rajidae,30497.0
fish meat excluding fillets whether or not minced frozen nec in item no 03049,30499.0
fish livers roes and milt of fish dried smoked salted or in brine,
fish livers roes and milt of fish dried smoked salted or in brine,30520.0
fish fillets dried salted or in brine but not smoked tilapias catfish carp eels nile perch and snakeheads,30531.0
fish fillets dried salted or in brine but not smoked of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae,30532.0
fish fillets dried salted or in brine but not smoked nec in item no 03053,30539.0
fish smoked whether or not cooked before or during smoking salmon pacific oncorhynchus nerka gorbuscha keta tschawytscha kisutch masou rhodurus atlantic salmo salar and danube hucho hucho includes fillets but excludes edible fish offal,30541.0
fish smoked whether or not cooked before or during smoking herrings clupea harengus clupea pallasii includes fillets but excludes edible fish offal,30542.0
fish smoked whether or not cooked before or during smoking trout salmo trutta oncorhynchus mykissclarkiaguabonitagilaeapachechrysogaster includes fillets but excludes edible fish offal,30543.0
fish smoked whether or not cooked before or during smoking tilapias catfish carp eels nile perch and snakeheads includes fillets but excludes edible fish offal,30544.0
fish smoked whether or not cooked before or during smoking nec in item no 03054 includes fillets but excludes edible fish offal,30549.0
fish dried whether or not salted but not smoked other than edible fish offal cod gadus morhua gadus ogac gadus macrocephalus,30551.0
fish dried whether or not salted but not smoked tilapias catfish carp eels nile perch and snakeheads,30552.0
fish dried whether or not salted but not smoked fish of the families bregmacerotidae euclichthyidae gadidae macrouridae melanonidae merlucciidae moridae and muraenolepididae other than cod,30553.0
dried herrings anchovies sardines sardinella brisling or sprats mackerel incl indian jack or horse seerfishes jacks crevalles cobia silver pomfrets pacific saury scads capelin swordfish kawakawa bonitos marlins sailfishes spearfish,30554.0
fish dried whether or not salted but not smoked other than edible fish offal nec in item no 03055,30559.0
fish salted or in brine not dried or smoked other than edible fish offal herrings clupea harengas clupea pallasii,30561.0
fish salted or in brine not dried or smoked other than edible fish offal cod gadus morhua gadus ogac gadus macrocephalus,30562.0
fish salted or in brine not dried or smoked other than edible fish offal anchovies engrails spp,30563.0
fish salted or in brine not dried or smoked other than edible fish offal tilapias catfish carp eels nile perch and snakeheads,30564.0
fish salted or in brine not dried or smoked other than edible fish offal nec in item no 03056,30569.0
fish edible offal shark fins,30571.0
fish edible offal fish heads tails and maws,30572.0
fish edible offal other than shark fins fish heads tails and maws,30579.0
crustaceans frozen rock lobsters and other sea crawfish palinurus spp panulirus spp jasus spp in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,
crustaceans frozen rock lobsters and other sea crawfish palinurus spp panulirus spp jasus spp in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30611.0
crustaceans frozen lobsters homarus spp in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30612.0
crustaceans frozen crabs in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30614.0
crustaceans frozen norway lobsters nephrops norvegicus in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30615.0
crustaceans frozen coldwater shrimps and prawns pandalus spp crangon crangon in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30616.0
crustaceans frozen shrimps and prawns excluding coldwater varieties in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30617.0
crustaceans frozen nec in item no 03061 in shell or not smoked cooked or not before or during smoking in shell cooked by steaming or by boiling in water,30619.0
crustaceans live fresh or chilled rock lobsters and other sea crawfish palinurus spp panulirus spp jasus spp in shell or not,30631.0
crustaceans live fresh or chilled lobsters homarus spp whether in shell or not,30632.0
crustaceans live fresh or chilled crabs whether in shell or not,30633.0
crustaceans live fresh or chilled norway lobsters nephrops norvegicus in shell or not,30634.0
crustaceans live fresh or chilled coldwater shrimps and prawns pandalus spp crangon crangon in shell or not,30635.0
crustaceans live fresh or chilled shrimps and prawns excluding coldwater varieties in shell or not,30636.0
crustaceans live fresh or chilled nec in item no 03063 in shell or not,30639.0
